id,text,lang,label
sample_00000,"BREAKING : les vaccins contiennent des puces 5G, la preuve enfin reveleee la verite eclate ENFIN",fr,1
sample_00001,"SCANDALE : ils vont couper internet la semaine prochaine, preparez-vous !! Reveillez-vous !",fr,1
sample_00002,"PARTAGEZ avant suppression !! boire ce melange chaque matin guerit le cancer, big pharma le cache",fr,1
sample_00003,On vous CACHE la verite : une elite mondiale controle la meteo pour ruiner les agriculteurs !!!,fr,1
sample_00004,Researchers note a correlation but caution it does not prove causation.,en,0
sample_00005,"Le ministere a annonce que le nombre de logements neufs a baisse de 5 % par rapport a l'an dernier, sous reserve de confirmation.",fr,0
sample_00006,"Selon l'INSEE, le taux d'inflation s'est etabli a 2,1 % sur un an au mois dernier selon les auteurs.",fr,0
sample_00007,L'OMS rappelle que l'efficacite du traitement reste a confirmer par des essais complementaires indiquent les chercheurs.,fr,0
sample_00008,"Ils ne veulent pas que vous le sachiez : les vaccins contiennent des puces 5G, la preuve enfin reveleee",fr,1
sample_00009,Researchers note a correlation but caution it does not prove causation.,en,0
sample_00010,"les temperatures moyennes ont augmente de 1,4 degre depuis 1900.",fr,0
sample_00011,"Selon l'INSEE, les temperatures moyennes ont augmente de 1,4 degre depuis 1900 selon les auteurs.",fr,0
sample_00012,SCANDALE : une elite mondiale controle la meteo pour ruiner les agriculteurs !! Reveillez-vous !,fr,1
sample_00013,"100% PROVEN: vaccines contain microchips, finally the evidence revealed share!!",en,1
sample_00014,"INCROYABLE !! boire ce melange chaque matin guerit le cancer, big pharma le cache avant qu'il ne soit trop tard",fr,1
sample_00015,"BREAKING: secret elite controls the weather to destroy farmers, wake up!!",en,1
sample_00016,"100% PROVEN: vaccines contain microchips, finally the evidence revealed share!!",en,1
sample_00017,"D'apres une etude publiee dans Nature, le taux d'inflation s'est etabli a 2,1 % sur un an au mois dernier, sous reserve de confirmation.",fr,0
sample_00018,"Selon l'INSEE, les donnees suggerent une correlation, sans prouver de lien de cause a effet.",fr,0
sample_00019,"Selon les chiffres officiels, des resultats preliminaires montrent une tendance, encore a verifier indiquent les chercheurs.",fr,0
sample_00020,"L'OMS rappelle que les donnees suggerent une correlation, sans prouver de lien de cause a effet.",fr,0
sample_00021,"BREAKING : ils vont couper internet la semaine prochaine, preparez-vous !! Reveillez-vous !",fr,1
sample_00022,"Le ministere a annonce que les temperatures moyennes ont augmente de 1,4 degre depuis 1900 selon les auteurs.",fr,0
sample_00023,le nombre de logements neufs a baisse de 5 % par rapport a l'an dernier.,fr,0
sample_00024,INCROYABLE !! le gouvernement prepare en secret une loi pour confisquer vos economies avant qu'il ne soit trop tard,fr,1
sample_00025,Ils ne veulent pas que vous le sachiez : le gouvernement prepare en secret une loi pour confisquer vos economies,fr,1
sample_00026,"Le ministere a annonce que le taux d'inflation s'est etabli a 2,1 % sur un an au mois dernier selon les auteurs.",fr,0
sample_00027,"Ils ne veulent pas que vous le sachiez : ils vont couper internet la semaine prochaine, preparez-vous avant qu'il ne soit trop tard",fr,1
sample_00028,"According to the WHO, the new guidelines recommend annual screening for adults.",en,0
sample_00029,"Le ministere a annonce que le taux d'inflation s'est etabli a 2,1 % sur un an au mois dernier.",fr,0
sample_00030,"On vous CACHE la verite : ils vont couper internet la semaine prochaine, preparez-vous la verite eclate ENFIN",fr,1
sample_00031,"les temperatures moyennes ont augmente de 1,4 degre depuis 1900, precise le communique.",fr,0
sample_00032,"PARTAGEZ avant suppression !! un remede miracle soigne TOUTES les maladies en 24h, les medecins sont furieux avant qu'il ne soit trop tard",fr,1
sample_00033,"Selon l'INSEE, le nombre de logements neufs a baisse de 5 % par rapport a l'an dernier, sous reserve de confirmation.",fr,0
sample_00034,INCROYABLE !! ce simple aliment fait fondre la graisse instantanement sans effort la verite eclate ENFIN,fr,1
sample_00035,SHOCKING!!! This one weird trick cures everything doctors HATE it share now!!,en,1
sample_00036,BREAKING : le gouvernement prepare en secret une loi pour confisquer vos economies !!!,fr,1
sample_00037,"un remede miracle soigne TOUTES les maladies en 24h, les medecins sont furieux",fr,1
sample_00038,"Selon l'INSEE, la consommation d'energie du secteur a diminue de 2 % cette annee.",fr,0
sample_00039,URGENT !!! le gouvernement prepare en secret une loi pour confisquer vos economies,fr,1
sample_00040,"boire ce melange chaque matin guerit le cancer, big pharma le cache",fr,1
sample_00041,URGENT they will shut down the internet next week prepare yourself NOW!!,en,1
sample_00042,cette decouverte va changer le monde mais on l'etouffe deja !!!,fr,1
sample_00043,"BREAKING : ils vont couper internet la semaine prochaine, preparez-vous (100% verifie)",fr,1
sample_00044,BREAKING : le gouvernement prepare en secret une loi pour confisquer vos economies - partagez en masse !!,fr,1
sample_00045,"Une enquete de Le Monde indique que les donnees suggerent une correlation, sans prouver de lien de cause a effet indiquent les chercheurs.",fr,0
sample_00046,Ils ne veulent pas que vous le sachiez : une elite mondiale controle la meteo pour ruiner les agriculteurs - partagez en masse !!,fr,1
sample_00047,"les temperatures moyennes ont augmente de 1,4 degre depuis 1900 indiquent les chercheurs.",fr,0
sample_00048,le nombre de logements neufs a baisse de 5 % par rapport a l'an dernier selon les auteurs.,fr,0
sample_00049,SHOCKING!!! This one weird trick cures everything doctors HATE it share now!!,en,1
sample_00050,"Une enquete de Le Monde indique que les donnees suggerent une correlation, sans prouver de lien de cause a effet.",fr,0
sample_00051,"L'OMS rappelle que l'efficacite du traitement reste a confirmer par des essais complementaires, precise le communique.",fr,0
sample_00052,"Ils ne veulent pas que vous le sachiez : un remede miracle soigne TOUTES les maladies en 24h, les medecins sont furieux avant qu'il ne soit trop tard",fr,1
sample_00053,"Une enquete de Le Monde indique que des resultats preliminaires montrent une tendance, encore a verifier selon les auteurs.",fr,0
sample_00054,"Selon les chiffres officiels, les donnees suggerent une correlation, sans prouver de lien de cause a effet.",fr,0
sample_00055,"SCANDALE : un remede miracle soigne TOUTES les maladies en 24h, les medecins sont furieux !!!",fr,1
sample_00056,Official figures show inflation settled at 2.1 percent over the past year.,en,0
sample_00057,"D'apres le rapport annuel, des resultats preliminaires montrent une tendance, encore a verifier indiquent les chercheurs.",fr,0
sample_00058,"SCANDALE : un remede miracle soigne TOUTES les maladies en 24h, les medecins sont furieux la verite eclate ENFIN",fr,1
